intensidad_media,mediana,desviacion_std,varianza,asimetria,curtosis,p10,p90,rango,homogeneidad,energia,contraste,correlacion,entropia,lbp_entropia,lbp_energia,area,circularidad,compacidad,solidez,excentricidad,extension,Clase
0.2291409,0.2156863,0.08376512,0.007016595,1.282822,6.94492,0.1372549,0.3294118,0.1921569,0.9751698,0.3190258,0.1049039,0.9799994,6.280827,2.782342,0.1728071,100134,0.8699005,1.149557,0.9671512,0.7289875,0.7485311,2
0.2546833,0.203252,0.1671039,0.02792371,2.362767,8.052889,0.1341463,0.4430894,0.3089431,0.9219486,0.2991249,0.5221211,0.9062244,6.404888,2.872262,0.1584329,9494,0.8777851,1.139231,0.9857751,0.8190547,0.7598239,1
0.3075576,0.2745098,0.1407952,0.0198233,1.437855,5.550102,0.1686275,0.4980392,0.3294118,0.9585647,0.2590702,0.1306575,0.9746817,6.95366,2.764458,0.1786545,144769,0.8198864,1.219681,0.9480243,0.8096035,0.6928868,2
0.1374283,0.09411765,0.1295242,0.01677652,1.988571,7.640568,0.02352941,0.3145098,0.2909804,0.986663,0.4796785,0.08033898,0.9846333,6.430786,2.757141,0.1696312,102813,0.9296988,1.075617,0.9814147,0.2345283,0.786778,2
0.2754839,0.2352941,0.2274317,0.05172516,0.7672343,2.764124,0.02745098,0.6039216,0.5764706,0.9612395,0.2461737,0.1279999,0.9750891,7.387812,2.699515,0.1865078,46986,0.8479727,1.179283,0.9324839,0.6832098,0.7524984,2
0.2463269,0.2413793,0.07435879,0.00552923,0.9450859,5.801491,0.1594828,0.3383621,0.1788793,0.9392993,0.2789575,0.3694489,0.9212936,6.05494,2.868589,0.1594552,7440,0.762526,1.311431,0.954948,0.8778227,0.7813485,2
0.2491644,0.2392157,0.08234256,0.006780297,1.305729,7.858998,0.1568628,0.3490196,0.1921569,0.9736854,0.3089667,0.1249962,0.9745976,6.27742,2.832486,0.1614244,45864,0.9777669,1.022739,0.991354,0.5805406,0.7579323,2
0.221397,0.199187,0.1313802,0.01726075,1.114272,4.967933,0.06910569,0.395122,0.3260162,0.9678445,0.305645,0.1449435,0.9756693,6.848286,2.818142,0.1656471,48733,0.6596086,1.516051,0.8566481,0.8381647,0.6898392,3
0.3472497,0.3446808,0.1106706,0.01224798,0.08426485,3.409865,0.2170213,0.4893617,0.2723404,0.9558022,0.3525717,0.1983648,0.9523122,6.69547,2.788484,0.1743392,12616,0.9135945,1.094578,0.9853171,0.7326267,0.7138573,1
0.156797,0.1309524,0.1255017,0.01575067,0.8402134,3.030143,0.02380952,0.3412699,0.3174603,0.9711852,0.4321305,0.1692093,0.9573661,6.558098,2.767996,0.1683576,62457,0.9574894,1.044398,0.991743,0.5758172,0.8491312,2
0.1732462,0.1764706,0.0801115,0.006417853,0.6848757,5.761862,0.0627451,0.2627451,0.2,0.973487,0.4110575,0.1302064,0.979796,6.274866,2.733967,0.1794457,81637,0.8119981,1.23153,0.9468343,0.7498323,0.6945111,2
0.4400412,0.4448819,0.1100002,0.01210004,-0.3434621,3.495275,0.3070866,0.5708662,0.2637795,0.9635631,0.300451,0.1250444,0.9640089,6.810618,2.843391,0.1647919,92251,0.8789963,1.137661,0.959379,0.7022434,0.7176944,2
